Day,Exercise,Minutes,Calories Burned
2017-05-26,"Paddling (Garmin)",44.833333333333336,-340.00
2017-03-16,"Paddling (Garmin)",51.15,-671.00
2017-09-10,"Transition (Garmin)",4.133333333333334,-36.00
2017-03-02,"Indoor cardio (Garmin)",6.7,-10.00
2017-05-26,"Running (Garmin)",3.283333333333333,-45.00
2017-05-12,"Indoor cardio (Garmin)",6.216666666666667,-7.00
2017-03-16,"Running (Garmin)",7.416666666666667,-110.00
2017-09-10,"Cycling (Garmin)",167.56666666666666,-2003.00
2017-03-02,"Paddling (Garmin)",35.05,-360.00
2017-05-26,"Running (Garmin)",3.3,-43.00
2017-03-30,"Indoor cardio (Garmin)",6.216666666666667,-11.00
2017-09-10,"Transition (Garmin)",3.8333333333333335,-22.00
2017-05-13,"Indoor cardio (Garmin)",7.2,-11.00
2017-05-26,"Running (Garmin)",9.6,-149.00
2017-03-30,"Running (Garmin)",2.216666666666667,-25.00
2017-03-26,"Indoor cardio (Garmin)",6.266666666666667,-12.00
2017-09-10,"Running (Garmin)",109.25,-1261.00
2017-03-30,"Running (Garmin)",72.55,-879.00
2017-06-06,"Running (Garmin)",33.81666666666667,-522.00
2017-03-26,"Cycling (Garmin)",85.43333333333334,-1087.00
2017-05-17,"Paddling (Garmin)",65.65,-692.00
2017-12-03,"Indoor cycling (Garmin)",27.0,-361.00
2017-03-28,"Indoor cardio (Garmin)",6.816666666666666,-11.00
2017-05-26,"Running (Garmin)",3.15,-53.00
2017-03-26,"Cycling (Garmin)",31.333333333333332,-445.00
2017-05-17,"Running (Garmin)",53.18333333333333,-629.00
2017-11-27,"Indoor cycling (Garmin)",42.5,-493.00
2017-05-26,"Running (Garmin)",6.116666666666666,-86.00
2017-03-28,"Indoor cycling (Garmin)",80.0,-754.00
2017-03-26,"Cycling (Garmin)",21.85,-332.00
2017-05-17,"Running (Garmin)",7.233333333333333,-101.00
2017-12-29,"Running (Garmin)",36.13333333333333,-495.00
2017-04-22,"Cycling (Garmin)",133.01666666666668,-1065.00
2017-03-26,"Cycling (Garmin)",12.733333333333333,-185.00
2017-04-11,"Indoor cardio (Garmin)",6.6,-11.00
2017-05-18,"Indoor cardio (Garmin)",6.5,-11.00
2017-04-11,"Lap swimming (Garmin)",63.5,-562.00
2017-03-26,"Cycling (Garmin)",16.583333333333332,-219.00
2017-05-16,"Running (Garmin)",33.63333333333333,-497.00
2017-04-20,"Indoor cardio (Garmin)",4.266666666666667,-9.00
2017-03-27,"Indoor cardio (Garmin)",6.116666666666666,-12.00
2017-05-16,"Lap swimming (Garmin)",42.86666666666667,-401.00
2017-04-20,"Paddling (Garmin)",73.95,-774.00
2017-03-22,"Indoor cardio (Garmin)",6.233333333333333,-10.00
2017-06-03,"Cycling (Garmin)",169.28333333333333,-2328.00
2017-05-21,"Indoor cardio (Garmin)",6.333333333333333,-10.00
2017-12-23,"Running (Garmin)",17.516666666666666,-256.00
2017-03-25,"Indoor cardio (Garmin)",6.3,-7.00
2017-03-22,"Running (Garmin)",7.4,-109.00
2017-05-21,"Running (Garmin)",41.78333333333333,-503.00
2017-05-07,"Running (Garmin)",6.783333333333333,-94.00
2017-03-25,"Paddling (Garmin)",38.43333333333333,-467.00
2017-05-07,"Running (Garmin)",61.43333333333333,-728.00
2017-10-03,"Running (Garmin)",64.45,-905.00
2017-04-28,"Indoor cardio (Garmin)",7.45,-7.00
2017-05-17,"Indoor cardio (Garmin)",6.75,-10.00
2017-05-07,"Running (Garmin)",7.0,-103.00
2017-03-18,"Indoor cardio (Garmin)",6.05,-11.00
2017-03-22,"Paddling (Garmin)",48.53333333333333,-148.00
2017-05-21,"Running (Garmin)",7.216666666666667,-104.00
2017-03-18,"Cycling (Garmin)",300.8,-2961.00
2017-06-16,"Lap swimming (Garmin)",36.1,-294.00
2017-04-15,"Indoor cardio (Garmin)",6.016666666666667,-11.00
2017-04-13,"Indoor cardio (Garmin)",8.016666666666667,-14.00
2017-05-14,"Open water swimming (Garmin)",31.633333333333333,-316.00
2017-04-09,"Cycling (Garmin)",140.36666666666667,-1924.00
2017-05-14,"Cycling (Garmin)",27.4,-416.00
2017-03-22,"Paddling (Garmin)",43.21666666666667,-590.00
2017-04-13,"Cycling (Garmin)",79.81666666666666,-697.00
2017-10-11,"Lap swimming (Garmin)",56.31666666666667,-390.00
2017-04-23,"Paddling (Garmin)",96.2,-930.00
2017-03-22,"Running (Garmin)",8.35,-117.00
2017-06-05,"Running (Garmin)",34.35,-477.00
2017-04-23,"Lap swimming (Garmin)",41.36666666666667,-282.00
2017-04-15,"Cycling (Garmin)",101.53333333333333,-843.00
2017-05-14,"Cycling (Garmin)",139.15,-1540.00
2017-12-30,"Running (Garmin)",32.88333333333333,-459.00
2017-06-18,"Cycling (Garmin)",30.35,-332.00
2017-04-02,"Indoor cardio (Garmin)",6.266666666666667,-10.00
2017-05-15,"Indoor cardio (Garmin)",6.0,-10.00
2017-04-24,"Paddling (Garmin)",78.83333333333333,-881.00
2017-04-07,"Indoor cardio (Garmin)",6.016666666666667,-14.00
2017-06-18,"Open water swimming (Garmin)",56.53333333333333,-398.00
2017-04-25,"Indoor cardio (Garmin)",3.5,-6.00
2017-06-18,"Cycling (Garmin)",33.68333333333333,-368.00
2017-04-02,"Cycling (Garmin)",91.4,-760.00
2017-05-24,"Indoor cardio (Garmin)",7.083333333333333,-8.00
2017-06-18,"Cycling (Garmin)",74.55,-507.00
2017-04-07,"Cycling (Garmin)",143.38333333333333,-1697.00
2017-05-27,"Indoor cardio (Garmin)",6.3,-11.00
2017-05-02,"Lap swimming (Garmin)",51.75,-525.00
2017-05-24,"Running (Garmin)",50.61666666666667,-704.00
2017-04-07,"Cycling (Garmin)",25.15,-272.00
2017-05-27,"Paddling (Garmin)",11.216666666666667,-149.00
2017-04-18,"Lap swimming (Garmin)",45.833333333333336,-345.00
2017-05-24,"Running (Garmin)",12.25,-182.00
2017-04-02,"Cycling (Garmin)",106.5,-1017.00
2017-04-19,"Indoor cardio (Garmin)",8.05,-14.00
2017-05-27,"Paddling (Garmin)",38.4,-280.00
2017-04-07,"Running (Garmin)",46.28333333333333,-611.00
2017-04-19,"Paddling (Garmin)",89.48333333333333,-872.00
2017-05-24,"Running (Garmin)",2.066666666666667,-34.00
2017-05-08,"Cycling (Garmin)",52.93333333333333,-210.00
2017-04-06,"Indoor cardio (Garmin)",6.016666666666667,-11.00
2017-06-10,"Running (Garmin)",45.46666666666667,-601.00
2017-04-12,"Indoor cardio (Garmin)",6.016666666666667,-10.00
2017-05-08,"Open water swimming (Garmin)",24.033333333333335,-283.00
2017-05-27,"Running (Garmin)",11.366666666666667,-165.00
2017-07-31,"Running (Garmin)",28.333333333333332,-417.00
2017-04-12,"Paddling (Garmin)",89.63333333333334,-980.00
2017-05-08,"Cycling (Garmin)",65.45,-376.00
2017-05-27,"Running (Garmin)",3.4166666666666665,-57.00
2017-06-08,"Running (Garmin)",26.833333333333332,-424.00
2017-05-09,"Running (Garmin)",39.916666666666664,-553.00
2017-04-03,"Indoor cardio (Garmin)",6.033333333333333,-11.00
2017-03-20,"Indoor cardio (Garmin)",6.483333333333333,-11.00
2017-05-09,"Lap swimming (Garmin)",41.15,-434.00
2017-04-03,"Running (Garmin)",44.333333333333336,-644.00
2017-05-10,"Running (Garmin)",74.38333333333334,-1085.00
2017-03-20,"Running (Garmin)",48.96666666666667,-751.00
2017-05-10,"Indoor cardio (Garmin)",12.183333333333334,-17.00
2017-04-04,"Indoor cardio (Garmin)",6.016666666666667,-10.00
2017-04-30,"Indoor cardio (Garmin)",6.4,-11.00
2017-05-20,"Cycling (Garmin)",23.35,-205.00
2017-05-11,"Indoor cardio (Garmin)",6.166666666666667,-10.00
2017-04-30,"Paddling (Garmin)",88.86666666666666,-910.00
2017-03-23,"Indoor cardio (Garmin)",6.166666666666667,-9.00
2017-05-20,"Cycling (Garmin)",10.716666666666667,-134.00
2017-04-22,"Indoor cardio (Garmin)",7.683333333333334,-11.00
2017-08-05,"Cycling (Garmin)",101.55,-1346.00
2017-03-23,"Running (Garmin)",7.883333333333334,-110.00
2017-05-20,"Cycling (Garmin)",5.7,-85.00
2017-04-22,"Paddling (Garmin)",74.66666666666667,-698.00
2017-03-23,"Paddling (Garmin)",44.233333333333334,-601.00
2017-11-02,"Running (Garmin)",35.333333333333336,-516.00
2017-05-20,"Cycling (Garmin)",20.433333333333334,-188.00
2017-06-07,"Running (Garmin)",31.266666666666666,-466.00
2017-03-23,"Running (Garmin)",8.166666666666666,-114.00
2017-04-22,"Cycling (Garmin)",41.3,-499.00
2017-05-20,"Paddling (Garmin)",68.46666666666667,-555.00
2017-04-22,"Cycling (Garmin)",6.6,-76.00
2017-04-05,"Paddling (Garmin)",73.71666666666667,-717.00
2017-06-07,"Open water swimming (Garmin)",22.216666666666665,-175.00
2017-05-20,"Cycling (Garmin)",80.7,-949.00
2017-04-05,"Running (Garmin)",7.433333333333334,-109.00
2017-04-16,"Cycling (Garmin)",66.2,-707.00
2017-05-22,"Cycling (Garmin)",45.5,-438.00
2017-06-11,"Cycling (Garmin)",31.2,-349.00
2017-05-22,"Open water swimming (Garmin)",36.03333333333333,-445.00
2017-04-26,"Running (Garmin)",78.35,-945.00
2017-04-08,"Indoor cardio (Garmin)",6.816666666666666,-12.00
2017-06-11,"Open water swimming (Garmin)",5.75,-65.00
2017-04-08,"Cycling (Garmin)",247.83333333333334,-1849.00
2017-04-17,"Indoor cardio (Garmin)",6.083333333333333,-8.00
2017-06-11,"Open water swimming (Garmin)",31.083333333333332,-321.00
2017-04-27,"Indoor cardio (Garmin)",6.733333333333333,-11.00
2017-05-19,"Indoor cardio (Garmin)",6.216666666666667,-9.00
2017-06-11,"Transition (Garmin)",1.2833333333333334,-8.00
2017-08-27,"Running (Garmin)",67.28333333333333,-800.00
2017-11-25,"Indoor cycling (Garmin)",40.166666666666664,-396.00
2017-06-11,"Cycling (Garmin)",86.43333333333334,-1215.00
2017-05-22,"Cycling (Garmin)",40.28333333333333,-389.00
2017-05-25,"Indoor cardio (Garmin)",6.133333333333334,-9.00
2017-05-31,"Cycling (Garmin)",28.283333333333335,-333.00
2017-06-11,"Running (Garmin)",22.6,-296.00
2017-05-25,"Running (Garmin)",3.45,-44.00
2017-05-19,"Paddling (Garmin)",36.266666666666666,-273.00
2017-05-31,"Open water swimming (Garmin)",55.45,-611.00
2017-05-20,"Indoor cardio (Garmin)",7.083333333333333,-12.00
2017-05-31,"Cycling (Garmin)",29.683333333333334,-314.00
2017-05-28,"Cycling (Garmin)",42.71666666666667,-462.00
2017-05-20,"Cycling (Garmin)",16.083333333333332,-195.00
2017-05-28,"Cycling (Garmin)",44.28333333333333,-455.00
2017-05-20,"Cycling (Garmin)",21.483333333333334,-143.00
2017-08-01,"Lap swimming (Garmin)",19.083333333333332,-160.00
2017-09-22,"Lap swimming (Garmin)",19.633333333333333,-165.00
2017-08-02,"Running (Garmin)",41.583333333333336,-721.00
2017-05-25,"Running (Garmin)",43.3,-635.00
2017-08-06,"Cycling (Garmin)",57.3,-461.00
2017-12-15,"Running (Garmin)",10.716666666666667,-162.00
2017-05-25,"Running (Garmin)",8.383333333333333,-129.00
2017-08-06,"Cycling (Garmin)",59.1,-480.00
2017-05-25,"Running (Garmin)",2.1166666666666667,-33.00
2017-06-24,"Open water swimming (Garmin)",10.416666666666666,-136.00
2017-05-25,"Running (Garmin)",7.483333333333333,-121.00
2017-08-03,"Lap swimming (Garmin)",37.666666666666664,-301.00
2017-06-24,"Running (Garmin)",13.366666666666667,-205.00
2017-06-23,"Cycling (Garmin)",107.11666666666666,-1385.00
2017-06-25,"Open water swimming (Garmin)",30.016666666666666,-339.00
2017-07-24,"Running (Garmin)",51.11666666666667,-763.00
2017-08-06,"Open water swimming (Garmin)",28.566666666666666,-359.00
2017-06-25,"Cycling (Garmin)",178.75,-2544.00
2017-06-25,"Transition (Garmin)",1.6166666666666667,-19.00
2017-08-15,"Running (Garmin)",37.06666666666667,-422.00
2017-06-25,"Running (Garmin)",103.11666666666666,-915.00
2017-06-14,"Cycling (Garmin)",111.8,-1458.00
2017-10-04,"Treadmill running (Garmin)",15.0,-203.00
2017-10-04,"Treadmill running (Garmin)",10.0,-137.00
2017-10-04,"Treadmill running (Garmin)",5.05,-69.00
2017-11-18,"Daily Activity (Garmin)",57.0,-163.00
2017-10-30,"Lap swimming (Garmin)",41.016666666666666,-405.00
2017-11-17,"Daily Activity (Garmin)",36.0,-114.00
2017-11-16,"Daily Activity (Garmin)",96.0,-206.00
2017-11-15,"Daily Activity (Garmin)",18.0,-75.00
2017-11-14,"Daily Activity (Garmin)",57.0,-194.00
2017-11-13,"Daily Activity (Garmin)",52.0,-177.00
2017-11-12,"Daily Activity (Garmin)",37.0,-127.00
2017-11-11,"Daily Activity (Garmin)",85.0,-125.00
2017-11-10,"Daily Activity (Garmin)",115.0,-493.00
2017-11-09,"Daily Activity (Garmin)",82.0,-251.00
2017-11-08,"Daily Activity (Garmin)",58.0,-202.00
2017-11-07,"Daily Activity (Garmin)",41.0,-145.00
2017-11-06,"Daily Activity (Garmin)",11.0,-46.00
2017-11-04,"Daily Activity (Garmin)",58.0,-186.00
2017-11-03,"Daily Activity (Garmin)",12.0,-43.00
2017-06-22,"Running (Garmin)",31.633333333333333,-454.00
2017-08-07,"Cycling (Garmin)",19.516666666666666,-163.00
2017-08-07,"Cycling (Garmin)",121.75,-1109.00
2017-08-07,"Cycling (Garmin)",19.033333333333335,-153.00
2017-08-07,"Cycling (Garmin)",19.033333333333335,-153.00
2017-09-17,"Treadmill running (Garmin)",30.0,-444.00
2017-11-24,"Treadmill running (Garmin)",40.0,-615.00
2017-03-24,"Indoor cardio (Garmin)",6.516666666666667,-9.00
2017-08-22,"Open water swimming (Garmin)",44.61666666666667,-436.00
2017-10-29,"Lap swimming (Garmin)",21.55,-186.00
2017-04-14,"Indoor cardio (Garmin)",6.983333333333333,-14.00
2017-10-29,"Lap swimming (Garmin)",32.75,-170.00
2017-04-14,"Cycling (Garmin)",291.1666666666667,-3510.00
2017-11-02,"Daily Activity (Garmin)",78.0,-86.00
2017-11-01,"Daily Activity (Garmin)",45.0,-80.00
2017-10-31,"Daily Activity (Garmin)",8.0,-38.00
2017-10-30,"Daily Activity (Garmin)",49.0,-128.00
2017-10-29,"Daily Activity (Garmin)",37.0,-47.00
2017-10-28,"Daily Activity (Garmin)",0.0,-24.00
2017-10-27,"Daily Activity (Garmin)",38.0,-75.00
2017-10-25,"Daily Activity (Garmin)",9.0,-95.00
2017-10-24,"Daily Activity (Garmin)",39.0,-14.00
2017-10-16,"Daily Activity (Garmin)",6.0,-33.00
2017-10-11,"Daily Activity (Garmin)",37.0,-5.00
2017-10-05,"Daily Activity (Garmin)",55.0,-134.00
2017-09-09,"Daily Activity (Garmin)",1.0,-70.00
2017-07-13,"Daily Activity (Garmin)",31.0,-92.00
2017-07-12,"Daily Activity (Garmin)",33.0,-115.00
2017-07-11,"Daily Activity (Garmin)",52.0,-190.00
2017-07-10,"Daily Activity (Garmin)",150.0,-1037.00
2017-07-09,"Daily Activity (Garmin)",142.0,-1058.00
2017-07-08,"Daily Activity (Garmin)",185.0,-1335.00
2017-07-06,"Daily Activity (Garmin)",81.0,-367.00
2017-07-05,"Daily Activity (Garmin)",74.0,-396.00
2017-07-04,"Daily Activity (Garmin)",61.0,-257.00
2017-07-03,"Daily Activity (Garmin)",1.0,-3.00
2017-07-01,"Daily Activity (Garmin)",112.0,-362.00
2017-06-30,"Daily Activity (Garmin)",46.0,-180.00
2017-06-29,"Daily Activity (Garmin)",19.0,-91.00
2017-06-28,"Daily Activity (Garmin)",34.0,-114.00
2017-06-27,"Daily Activity (Garmin)",23.0,-71.00
2017-06-26,"Daily Activity (Garmin)",105.0,-308.00
2017-06-25,"Daily Activity (Garmin)",246.0,-49.00
2017-06-24,"Daily Activity (Garmin)",0.0,-162.00
2017-06-23,"Daily Activity (Garmin)",88.0,-46.00
2017-06-22,"Daily Activity (Garmin)",50.0,-21.00
2017-06-21,"Daily Activity (Garmin)",32.0,-149.00
2017-06-20,"Daily Activity (Garmin)",49.0,-179.00
2017-06-19,"Daily Activity (Garmin)",27.0,-116.00
2017-05-06,"Cycling (Garmin)",51.18333333333333,-654.00
2017-06-17,"Daily Activity (Garmin)",102.0,-169.00
2017-05-06,"Cycling (Garmin)",122.35,-1250.00
2017-06-16,"Daily Activity (Garmin)",72.0,-186.00
2017-05-29,"Running (Garmin)",19.683333333333334,-381.00
2017-06-15,"Daily Activity (Garmin)",20.0,-86.00
2017-05-29,"Running (Garmin)",48.45,-480.00
2017-06-13,"Daily Activity (Garmin)",12.0,-63.00
2017-05-29,"Running (Garmin)",18.716666666666665,-254.00
2017-06-12,"Daily Activity (Garmin)",63.0,-195.00
2017-06-11,"Daily Activity (Garmin)",143.0,-82.00
2017-06-10,"Daily Activity (Garmin)",74.0,-27.00
2017-06-09,"Daily Activity (Garmin)",33.0,-110.00
2017-06-08,"Daily Activity (Garmin)",95.0,-187.00
2017-06-07,"Daily Activity (Garmin)",136.0,-312.00
2017-06-06,"Daily Activity (Garmin)",115.0,-277.00
2017-06-05,"Daily Activity (Garmin)",76.0,-134.00
2017-06-04,"Daily Activity (Garmin)",131.0,-396.00
2017-06-02,"Daily Activity (Garmin)",51.0,-171.00
2017-06-01,"Daily Activity (Garmin)",34.0,-135.00
2018-02-24,"Daily Activity (Garmin)",69.0,0.00
2018-05-14,"Indoor cycling (Garmin)",43.36666666666667,-573.00
2018-02-23,"Daily Activity (Garmin)",15.0,0.00
2018-05-16,"Running (Garmin)",38.46666666666667,-551.00
2018-02-22,"Daily Activity (Garmin)",31.0,-112.00
2018-02-21,"Daily Activity (Garmin)",28.0,-14.00
2018-05-17,"Running (Garmin)",35.71666666666667,-405.00
2018-02-20,"Daily Activity (Garmin)",73.0,-135.00
2018-03-08,"Cycling (Garmin)",20.1,-287.00
2018-02-19,"Daily Activity (Garmin)",12.0,-53.00
2018-07-12,"Running (Garmin)",60.5,-741.00
2018-04-29,"Cycling (Garmin)",82.03333333333333,-951.00
2018-02-18,"Daily Activity (Garmin)",53.0,-168.00
2018-03-08,"Treadmill running (Garmin)",30.0,-421.00
2018-05-20,"Running (Garmin)",37.93333333333333,-560.00
2018-04-22,"Running (Garmin)",43.75,-548.00
2018-02-17,"Daily Activity (Garmin)",35.0,-124.00
2018-05-08,"Cycling (Garmin)",51.75,-794.00
2018-02-16,"Daily Activity (Garmin)",13.0,-45.00
2018-02-26,"Treadmill running (Garmin)",25.283333333333335,-359.00
2018-03-08,"Indoor cycling (Garmin)",10.016666666666667,-154.00
2018-02-15,"Daily Activity (Garmin)",46.0,-156.00
2018-08-12,"Cycling (Garmin)",10.9,-152.00
2018-12-19,"Indoor cycling (Garmin)",42.68333333333333,-493.00
2018-09-10,"Running (Garmin)",37.016666666666666,-583.00
2018-02-14,"Daily Activity (Garmin)",29.0,-127.00
2018-02-13,"Daily Activity (Garmin)",50.0,-164.00
2018-09-17,"Cycling (Garmin)",102.23333333333333,-1126.00
2018-08-26,"Cycling (Garmin)",139.88333333333333,-960.00
2018-02-12,"Daily Activity (Garmin)",13.0,-52.00
2018-08-12,"Cycling (Garmin)",116.33333333333333,-1412.00
2018-02-11,"Daily Activity (Garmin)",39.0,-208.00
2018-06-15,"Running (Garmin)",37.25,-387.00
2018-10-22,"Cycling (Garmin)",88.56666666666666,-1198.00
2018-02-10,"Daily Activity (Garmin)",8.0,-32.00
2018-11-14,"Treadmill running (Garmin)",20.016666666666666,-290.00
2018-02-09,"Daily Activity (Garmin)",0.0,-237.00
2018-05-06,"Running (Garmin)",50.93333333333333,-559.00
2018-08-12,"Cycling (Garmin)",14.316666666666666,-167.00
2018-02-08,"Daily Activity (Garmin)",22.0,-235.00
2018-08-02,"Cycling (Garmin)",78.95,-533.00
2018-11-14,"Indoor cycling (Garmin)",20.016666666666666,-271.00
2018-02-07,"Daily Activity (Garmin)",10.0,-161.00
2018-06-08,"Cycling (Garmin)",140.33333333333334,-1691.00
2018-02-06,"Daily Activity (Garmin)",0.0,-92.00
2018-07-04,"Open water swimming (Garmin)",47.766666666666666,-518.00
2018-09-28,"Cycling (Garmin)",101.15,-1052.00
2018-02-05,"Daily Activity (Garmin)",10.0,-76.00
2018-06-15,"Running (Garmin)",24.616666666666667,-367.00
2018-03-10,"Running (Garmin)",43.36666666666667,-599.00
2018-02-04,"Daily Activity (Garmin)",0.0,-72.00
2018-07-18,"Cycling (Garmin)",81.05,-866.00
2018-02-03,"Daily Activity (Garmin)",14.0,-48.00
2018-01-08,"Indoor cycling (Garmin)",45.9,-608.00
2018-06-22,"Cycling (Garmin)",58.31666666666667,-756.00
2018-02-02,"Daily Activity (Garmin)",6.0,-41.00
2018-12-04,"Indoor cycling (Garmin)",36.13333333333333,-503.00
2018-04-10,"Indoor cycling (Garmin)",40.1,-608.00
2018-01-29,"Daily Activity (Garmin)",1.0,-61.00
2018-07-14,"Cycling (Garmin)",105.16666666666667,-1189.00
2018-07-18,"Open water swimming (Garmin)",41.96666666666667,-394.00
2018-01-27,"Daily Activity (Garmin)",49.0,-162.00
2018-03-05,"Treadmill running (Garmin)",50.31666666666667,-549.00
2018-01-26,"Daily Activity (Garmin)",1.0,-57.00
2018-06-19,"Running (Garmin)",45.766666666666666,-604.00
2018-04-26,"Running (Garmin)",30.116666666666667,-448.00
2018-05-01,"Indoor cycling (Garmin)",44.11666666666667,-642.00
2018-01-25,"Daily Activity (Garmin)",0.0,-114.00
2018-01-12,"Indoor cycling (Garmin)",77.85,-880.00
2018-01-23,"Daily Activity (Garmin)",28.0,-236.00
2018-07-10,"Cycling (Garmin)",3.8666666666666667,-53.00
2018-08-27,"Indoor cycling (Garmin)",20.033333333333335,-242.00
2018-06-11,"Running (Garmin)",34.71666666666667,-475.00
2018-07-17,"Cycling (Garmin)",80.28333333333333,-551.00
2018-01-22,"Daily Activity (Garmin)",17.0,-64.00
2018-05-04,"Indoor cycling (Garmin)",30.3,-395.00
2018-01-21,"Daily Activity (Garmin)",9.0,-43.00
2018-07-05,"Running (Garmin)",53.3,-713.00
2018-01-20,"Daily Activity (Garmin)",0.0,-35.00
2018-07-10,"Cycling (Garmin)",118.55,-1276.00
2018-01-19,"Daily Activity (Garmin)",7.0,-30.00
2018-04-30,"Running (Garmin)",43.06666666666667,-608.00
2018-05-23,"Running (Garmin)",38.71666666666667,-574.00
2018-08-01,"Cycling (Garmin)",84.4,-935.00
2018-07-19,"Cycling (Garmin)",100.4,-858.00
2018-04-02,"Indoor cycling (Garmin)",45.06666666666667,-681.00
2018-01-18,"Daily Activity (Garmin)",7.0,-122.00
2018-07-22,"Running (Garmin)",70.58333333333333,-1056.00
2018-01-17,"Daily Activity (Garmin)",48.0,-163.00
2018-09-24,"Cycling (Garmin)",102.21666666666667,-1046.00
2018-03-13,"Indoor cycling (Garmin)",20.233333333333334,-273.00
2018-01-16,"Daily Activity (Garmin)",19.0,-262.00
2018-04-15,"Treadmill running (Garmin)",34.25,-476.00
2018-01-15,"Daily Activity (Garmin)",0.0,-13.00
2018-07-19,"Running (Garmin)",25.966666666666665,-315.00
2018-01-14,"Daily Activity (Garmin)",52.0,-199.00
2018-07-30,"Cycling (Garmin)",83.1,-913.00
2018-09-27,"Running (Garmin)",48.56666666666667,-520.00
2018-01-13,"Daily Activity (Garmin)",7.0,0.00
2018-06-09,"Cycling (Garmin)",99.55,-726.00
2018-03-13,"Indoor cycling (Garmin)",19.983333333333334,-290.00
2018-05-19,"Running (Garmin)",41.53333333333333,-551.00
2018-01-11,"Daily Activity (Garmin)",38.0,-125.00
2018-08-29,"Cycling (Garmin)",12.083333333333334,-150.00
2018-01-10,"Daily Activity (Garmin)",45.0,-171.00
2018-05-02,"Running (Garmin)",50.416666666666664,-674.00
2018-04-28,"Running (Garmin)",57.916666666666664,-623.00
2018-01-09,"Daily Activity (Garmin)",50.0,-30.00
2018-05-09,"Cycling (Garmin)",65.03333333333333,-318.00
2018-03-09,"Indoor cycling (Garmin)",40.86666666666667,-565.00
2018-06-14,"Cycling (Garmin)",61.31666666666667,-375.00
2018-01-08,"Daily Activity (Garmin)",54.0,-108.00
2018-07-23,"Cycling (Garmin)",89.73333333333333,-924.00
2018-07-30,"Open water swimming (Garmin)",45.6,-449.00
2018-12-01,"Indoor cycling (Garmin)",10.05,-109.00
2018-08-28,"Open water swimming (Garmin)",33.9,-354.00
2018-03-23,"Indoor cycling (Garmin)",40.06666666666667,-574.00
2018-01-07,"Daily Activity (Garmin)",57.0,-219.00
2018-04-16,"Indoor cycling (Garmin)",40.166666666666664,-524.00
2018-01-06,"Daily Activity (Garmin)",8.0,-38.00
2018-09-22,"Cycling (Garmin)",11.216666666666667,-160.00
2018-05-30,"Cycling (Garmin)",67.91666666666667,-431.00
2018-05-21,"Indoor cycling (Garmin)",40.15,-533.00
2018-03-12,"Indoor cycling (Garmin)",20.066666666666666,-286.00
2018-01-05,"Daily Activity (Garmin)",8.0,-36.00
2018-07-21,"Cycling (Garmin)",259.51666666666665,-2435.00
2018-03-30,"Running (Garmin)",40.35,-474.00
2018-01-04,"Daily Activity (Garmin)",71.0,-239.00
2018-09-22,"Cycling (Garmin)",186.56666666666666,-2423.00
2018-03-12,"Indoor cycling (Garmin)",20.45,-332.00
2018-12-09,"Running (Garmin)",73.46666666666667,-887.00
2018-01-03,"Daily Activity (Garmin)",119.0,-381.00
2018-12-01,"Indoor cycling (Garmin)",15.033333333333333,-199.00
2018-11-20,"Indoor cycling (Garmin)",44.0,-526.00
2018-08-29,"Cycling (Garmin)",94.11666666666666,-1397.00
2018-03-25,"Indoor cycling (Garmin)",48.43333333333333,-841.00
2018-01-02,"Daily Activity (Garmin)",211.0,-615.00
2018-05-05,"Running (Garmin)",47.85,-516.00
2018-12-01,"Indoor cycling (Garmin)",10.016666666666667,-130.00
2018-01-01,"Daily Activity (Garmin)",17.0,-53.00
2018-12-09,"Running (Garmin)",6.666666666666667,-109.00
2018-08-29,"Cycling (Garmin)",13.083333333333334,-200.00
2018-06-12,"Running (Garmin)",29.466666666666665,-428.00
2018-03-25,"Indoor cycling (Garmin)",20.6,-243.00
2018-09-30,"Cycling (Garmin)",10.633333333333333,-149.00
2018-08-04,"Cycling (Garmin)",324.6333333333333,-2933.00
2018-08-13,"Cycling (Garmin)",81.8,-823.00
2018-06-20,"Cycling (Garmin)",65.55,-483.00
2018-09-30,"Cycling (Garmin)",181.63333333333333,-2234.00
2018-09-07,"Cycling (Garmin)",88.05,-945.00
2018-06-20,"Running (Garmin)",33.43333333333333,-462.00
2018-09-22,"Cycling (Garmin)",13.0,-174.00
2018-11-19,"Treadmill running (Garmin)",45.0,-664.00
2018-09-30,"Cycling (Garmin)",15.15,-164.00
2018-05-10,"Running (Garmin)",38.9,-540.00
2018-06-17,"Cycling (Garmin)",14.666666666666666,-189.00
2018-09-02,"Running (Garmin)",46.28333333333333,-620.00
2018-09-05,"Cycling (Garmin)",87.11666666666666,-941.00
2018-09-08,"Cycling (Garmin)",4.6,-42.00
2018-10-17,"Cycling (Garmin)",93.78333333333333,-1056.00
2018-09-05,"Cycling (Garmin)",8.8,-113.00
2018-09-08,"Cycling (Garmin)",215.83333333333334,-2572.00
2018-06-28,"Open water swimming (Garmin)",75.26666666666667,-669.00
2018-09-05,"Cycling (Garmin)",89.25,-1213.00
2018-06-17,"Paddling (Garmin)",70.83333333333333,-777.00
2018-07-09,"Running (Garmin)",50.983333333333334,-620.00
2018-06-17,"Cycling (Garmin)",15.716666666666667,-189.00
2018-09-05,"Cycling (Garmin)",6.8,-102.00
2018-10-03,"Cycling (Garmin)",96.3,-1093.00
