Day,Exercise,Minutes,Calories Burned
2017-11-01,"Lap swimming (Garmin)",48.15,-387.00
2016-12-31,"Running (Garmin)",28.6,-362.00
2017-02-04,"Cycling (Garmin)",76.2,-994.00
2017-04-01,"Daily Activity (Garmin)",106.0,0.00
2017-05-09,"Daily Activity (Garmin)",49.0,-90.00
2017-01-16,"Running (Garmin)",63.483333333333334,-574.00
2017-03-31,"Daily Activity (Garmin)",36.0,-122.00
2017-02-10,"Running (Garmin)",56.25,-731.00
2017-05-08,"Daily Activity (Garmin)",44.0,0.00
2017-05-07,"Daily Activity (Garmin)",126.0,-54.00
2017-01-14,"Indoor cardio (Garmin)",10.566666666666666,-11.00
2016-12-28,"Running (Garmin)",37.56666666666667,-494.00
2017-03-30,"Daily Activity (Garmin)",1.0,0.00
2017-01-16,"Running (Garmin)",7.633333333333334,-110.00
2017-02-10,"Lap swimming (Garmin)",45.11666666666667,-449.00
2017-08-28,"Cycling (Garmin)",68.85,-868.00
2017-05-06,"Daily Activity (Garmin)",19.0,0.00
2017-03-29,"Daily Activity (Garmin)",46.0,0.00
2017-03-28,"Daily Activity (Garmin)",60.0,0.00
2017-01-14,"Indoor cardio (Garmin)",6.716666666666667,-9.00
2017-02-02,"Indoor cardio (Garmin)",7.016666666666667,-9.00
2016-12-14,"Paddling (Garmin)",49.88333333333333,-738.00
2017-05-05,"Daily Activity (Garmin)",24.0,-142.00
2017-03-27,"Daily Activity (Garmin)",89.0,-29.00
2016-12-28,"Running (Garmin)",24.633333333333333,-199.00
2017-07-15,"Running (Garmin)",29.3,-517.00
2017-01-14,"Running (Garmin)",7.95,-58.00
2017-03-26,"Daily Activity (Garmin)",0.0,0.00
2017-03-25,"Daily Activity (Garmin)",12.0,-217.00
2016-12-20,"Cycling (Garmin)",134.0,-1558.00
2017-02-02,"Indoor cardio (Garmin)",6.183333333333334,-7.00
2017-01-14,"Running (Garmin)",44.75,-414.00
2017-01-07,"Paddling (Garmin)",51.36666666666667,-564.00
2017-10-27,"Lap swimming (Garmin)",52.03333333333333,-396.00
2017-03-24,"Daily Activity (Garmin)",45.0,-174.00
2017-05-04,"Daily Activity (Garmin)",40.0,-990.00
2017-02-02,"Running (Garmin)",16.4,-247.00
2017-03-23,"Daily Activity (Garmin)",53.0,-43.00
2017-08-14,"Running (Garmin)",49.71666666666667,-493.00
2017-05-03,"Daily Activity (Garmin)",25.0,-105.00
2017-01-07,"Paddling (Garmin)",55.03333333333333,-569.00
2017-03-22,"Daily Activity (Garmin)",33.0,0.00
2017-02-19,"Indoor cardio (Garmin)",6.216666666666667,-9.00
2017-02-20,"Running (Garmin)",7.716666666666667,-109.00
2017-02-02,"Running (Garmin)",12.133333333333333,-219.00
2017-05-02,"Daily Activity (Garmin)",30.0,-39.00
2017-03-21,"Daily Activity (Garmin)",0.0,-73.00
2017-05-01,"Daily Activity (Garmin)",16.0,0.00
2017-03-20,"Daily Activity (Garmin)",66.0,-4.00
2017-02-03,"Indoor cardio (Garmin)",9.733333333333333,-17.00
2017-02-02,"Paddling (Garmin)",48.45,-645.00
2017-02-24,"Indoor cardio (Garmin)",6.05,-9.00
2017-01-11,"Running (Garmin)",8.333333333333334,-112.00
2017-04-30,"Daily Activity (Garmin)",4.0,-323.00
2017-03-19,"Daily Activity (Garmin)",10.0,-39.00
2017-08-14,"Running (Garmin)",32.0,-512.00
2017-02-21,"Indoor cardio (Garmin)",6.1,-9.00
2017-03-18,"Daily Activity (Garmin)",66.0,0.00
2017-02-12,"Indoor cardio (Garmin)",6.366666666666666,-9.00
2017-01-11,"Running (Garmin)",8.133333333333333,-100.00
2017-04-29,"Daily Activity (Garmin)",66.0,0.00
2017-02-19,"Cycling (Garmin)",204.0,-2432.00
2017-03-17,"Daily Activity (Garmin)",31.0,-96.00
2017-03-14,"Daily Activity (Garmin)",51.0,-248.00
2017-08-14,"Running (Garmin)",32.0,-512.00
2017-03-16,"Daily Activity (Garmin)",50.0,-107.00
2017-02-20,"Indoor cardio (Garmin)",6.666666666666667,-12.00
2017-03-13,"Daily Activity (Garmin)",0.0,-76.00
2017-01-09,"Running (Garmin)",18.633333333333333,-296.00
2017-02-03,"Lap swimming (Garmin)",56.85,-579.00
2017-08-12,"Running (Garmin)",33.766666666666666,-453.00
2017-02-12,"Paddling (Garmin)",46.05,-369.00
2017-03-12,"Daily Activity (Garmin)",84.0,-251.00
2017-02-05,"Indoor cardio (Garmin)",6.783333333333333,-12.00
2017-03-15,"Daily Activity (Garmin)",1.0,-27.00
2017-02-20,"Running (Garmin)",36.983333333333334,-479.00
2017-02-12,"Paddling (Garmin)",46.21666666666667,-514.00
2017-01-09,"Running (Garmin)",8.0,-117.00
2017-03-11,"Daily Activity (Garmin)",45.0,-164.00
2017-11-21,"Indoor cycling (Garmin)",41.5,-446.00
2017-03-10,"Daily Activity (Garmin)",43.0,0.00
2017-02-05,"Cycling (Garmin)",85.66666666666667,-1115.00
2017-12-31,"Daily Activity (Garmin)",19.0,-75.00
2017-03-04,"Indoor cardio (Garmin)",6.483333333333333,-13.00
2017-01-05,"Paddling (Garmin)",66.15,-519.00
2017-03-09,"Daily Activity (Garmin)",114.0,-73.00
2017-01-24,"Daily Activity (Garmin)",25.0,-117.00
2017-02-22,"Indoor cardio (Garmin)",6.716666666666667,-9.00
2017-12-30,"Daily Activity (Garmin)",52.0,-38.00
2017-11-28,"Running (Garmin)",21.75,-299.00
2017-03-08,"Daily Activity (Garmin)",95.0,-5.00
2017-02-05,"Cycling (Garmin)",67.65,-970.00
2017-01-23,"Daily Activity (Garmin)",23.0,-23.00
2017-12-29,"Daily Activity (Garmin)",48.0,-2.00
2017-03-07,"Daily Activity (Garmin)",20.0,-58.00
2017-01-29,"Indoor cardio (Garmin)",6.433333333333334,-9.00
2017-01-22,"Daily Activity (Garmin)",37.0,0.00
2017-02-24,"Running (Garmin)",46.016666666666666,-637.00
2017-03-06,"Daily Activity (Garmin)",23.0,-61.00
2017-12-28,"Daily Activity (Garmin)",35.0,0.00
2017-03-07,"Indoor cardio (Garmin)",6.016666666666667,-11.00
2017-01-21,"Daily Activity (Garmin)",62.0,0.00
2017-12-27,"Daily Activity (Garmin)",31.0,-98.00
2017-03-04,"Daily Activity (Garmin)",33.0,-188.00
2017-01-26,"Indoor cardio (Garmin)",10.183333333333334,-15.00
2017-01-29,"Running (Garmin)",7.566666666666666,-104.00
2017-01-20,"Daily Activity (Garmin)",45.0,-60.00
2017-02-23,"Indoor cardio (Garmin)",6.033333333333333,-9.00
2017-12-26,"Daily Activity (Garmin)",5.0,-19.00
2017-03-03,"Daily Activity (Garmin)",91.0,-257.00
2017-11-28,"Running (Garmin)",11.866666666666667,-165.00
2017-02-25,"Indoor cardio (Garmin)",6.266666666666667,-12.00
2017-12-25,"Daily Activity (Garmin)",43.0,0.00
2017-03-02,"Daily Activity (Garmin)",89.0,-413.00
2017-01-26,"Indoor cycling (Garmin)",120.01666666666667,-1132.00
2017-01-25,"Indoor cardio (Garmin)",6.95,-11.00
2017-11-28,"Running (Garmin)",30.65,-437.00
2017-12-24,"Daily Activity (Garmin)",37.0,-121.00
2017-01-19,"Daily Activity (Garmin)",13.0,-27.00
2017-03-01,"Daily Activity (Garmin)",106.0,0.00
2017-03-17,"Indoor cardio (Garmin)",7.05,-11.00
2017-01-18,"Daily Activity (Garmin)",79.0,-168.00
2017-12-23,"Daily Activity (Garmin)",31.0,-46.00
2017-02-28,"Daily Activity (Garmin)",50.0,-154.00
2017-11-28,"Running (Garmin)",11.883333333333333,-163.00
2017-02-23,"Running (Garmin)",56.63333333333333,-746.00
2017-12-22,"Daily Activity (Garmin)",63.0,-197.00
2017-02-24,"Lap swimming (Garmin)",44.6,-220.00
2017-02-27,"Daily Activity (Garmin)",34.0,-98.00
2017-01-17,"Daily Activity (Garmin)",117.0,-245.00
2017-01-27,"Indoor cardio (Garmin)",6.316666666666666,-11.00
2016-12-30,"Cycling (Garmin)",78.2,-646.00
2017-12-21,"Daily Activity (Garmin)",38.0,-130.00
2017-01-16,"Daily Activity (Garmin)",123.0,-103.00
2017-02-26,"Indoor cardio (Garmin)",8.0,-15.00
2017-02-26,"Daily Activity (Garmin)",52.0,-331.00
2017-11-28,"Running (Garmin)",3.7666666666666666,-49.00
2017-12-20,"Daily Activity (Garmin)",120.0,-369.00
2017-02-14,"Indoor cardio (Garmin)",6.4,-10.00
2017-02-27,"Indoor cardio (Garmin)",8.616666666666667,-13.00
2017-02-25,"Daily Activity (Garmin)",36.0,-129.00
2017-01-15,"Daily Activity (Garmin)",130.0,0.00
2017-01-14,"Daily Activity (Garmin)",107.0,-101.00
2017-02-24,"Daily Activity (Garmin)",116.0,-250.00
2017-12-19,"Daily Activity (Garmin)",46.0,-155.00
2017-01-13,"Indoor cardio (Garmin)",6.266666666666667,-10.00
2017-09-20,"Treadmill running (Garmin)",30.166666666666668,-408.00
2017-03-09,"Indoor cardio (Garmin)",6.0,-10.00
2017-02-14,"Running (Garmin)",8.016666666666667,-108.00
2017-01-13,"Daily Activity (Garmin)",1.0,-116.00
2017-02-22,"Daily Activity (Garmin)",13.0,-44.00
2017-12-18,"Daily Activity (Garmin)",29.0,-101.00
2017-02-21,"Daily Activity (Garmin)",16.0,-56.00
2017-03-03,"Indoor cardio (Garmin)",6.116666666666666,-11.00
2017-12-17,"Daily Activity (Garmin)",144.0,-519.00
2016-12-30,"Cycling (Garmin)",30.35,-317.00
2017-02-20,"Daily Activity (Garmin)",72.0,-34.00
2017-01-12,"Daily Activity (Garmin)",0.0,-116.00
2017-02-14,"Running (Garmin)",75.18333333333334,-615.00
