Datetime,Calories,CHO,FAT,PRO
2018-08-06T00:00:00Z,2487.3,247.6,121.2,91.1
2018-08-07T00:00:00Z,2405.3,233.4,110.80000000000001,117.6
2018-08-08T00:00:00Z,3188.8999999999996,320.3,183.6,97.1
2018-08-09T00:00:00Z,2499.7,266,110.8,109.9
2018-08-10T00:00:00Z,2884.3,250.39999999999998,131.1,168.4
2018-08-11T00:00:00Z,3731.5,267.8,195.6,195.89999999999998
2018-08-12T00:00:00Z,3154.9,270.9,169.7,146.1
2018-08-13T00:00:00Z,3465.8,393.8,126.5,122.19999999999999
2018-08-14T00:00:00Z,3710.9,361.4,192.8,151.2
2018-08-15T00:00:00Z,2839.4,380.9,68.9,125.1
2018-08-16T00:00:00Z,3297.2,411.2,117.2,186.3
2018-08-17T00:00:00Z,1621.1,180.2,36.5,37.2
2018-08-18T00:00:00Z,2618,246,131,172
2018-08-19T00:00:00Z,2210.1,180.2,72.7,49.699999999999996
2018-08-20T00:00:00Z,4276.7,534.2,212.3,85.9
2018-08-21T00:00:00Z,4368.5,525,206,139
2018-08-22T00:00:00Z,2689.6,347.9,74.3,87.9
2018-08-23T00:00:00Z,2491.8,281.6,116,178.60000000000002
2018-08-24T00:00:00Z,3598.4,279.4,128.9,108.69999999999999
2018-08-25T00:00:00Z,1702.6,85.9,81.9,64
2018-08-26T00:00:00Z,2873.8,60.9,165.3,104.89999999999999
2018-08-27T00:00:00Z,3624.4,237.1,182.6,134.6
2018-08-28T00:00:00Z,2867.2,290.3,103.80000000000001,116.1
2018-08-29T00:00:00Z,1912,151.5,83,63.9
2018-08-30T00:00:00Z,3140,215.5,161.3,78.9
2018-08-31T00:00:00Z,2313.5,199.7,105.19999999999999,130.5
2018-09-01T00:00:00Z,1935.8000000000002,250.7,82.6,72
2018-09-02T00:00:00Z,2363,157.8,93.8,106.2
2018-09-03T00:00:00Z,2580,236.49999999999997,132.79999999999998,97.4
2018-09-04T00:00:00Z,1987.1,176,111.9,81.5
2018-09-05T00:00:00Z,2645.1,260.4,115.7,94.3
2018-09-06T00:00:00Z,3807.4,506,150.2,105.5
2018-09-07T00:00:00Z,2497.6,265.8,83.5,82.7
2018-09-08T00:00:00Z,4098.6,493.6,265.6,117.1
2018-09-09T00:00:00Z,2518.9,253.60000000000002,113,57.4
2018-09-10T00:00:00Z,2971.4,286.4,190.1,148.7
2018-09-11T00:00:00Z,3073.5,290.1,126,118.80000000000001
2018-09-12T00:00:00Z,3794.4,377.7,175,94.39999999999999
2018-09-13T00:00:00Z,1640,216,59,62
2018-11-12T00:00:00Z,2469.4,270.8,106.1,109.69999999999999
2018-11-13T00:00:00Z,1750.6999999999998,181.29999999999998,66.9,99.1
2018-11-14T00:00:00Z,1665.5,183.9,44.5,81.69999999999999
2018-11-15T00:00:00Z,2936.3999999999996,285.70000000000005,130.2,143.5
2018-11-16T00:00:00Z,2145.1,254.5,63.2,139
2018-11-17T00:00:00Z,2424.9,286.8,113,98.8
2018-11-18T00:00:00Z,2128.9,211.9,89.8,84.5
2018-11-19T00:00:00Z,2054.8,264,60.5,90
2018-11-20T00:00:00Z,1946.4,161.9,107.8,93.5
2018-11-21T00:00:00Z,2397.8,190.3,115,114.6
2018-11-22T00:00:00Z,3664.6000000000004,411.3,188.9,117.10000000000001
2018-11-23T00:00:00Z,1936.2,224,50.8,67.19999999999999
2018-11-24T00:00:00Z,4256.2,378.3,169,81
2018-11-25T00:00:00Z,3242,321.8,181.2,94.80000000000001
2018-11-26T00:00:00Z,2221.6000000000004,284,64.8,54.69999999999999
2018-11-27T00:00:00Z,2140,153.6,79.1,62.4
2018-11-28T00:00:00Z,2908,411.4,117.5,79.8
2018-11-29T00:00:00Z,2126,167.8,98,89.6
2018-11-30T00:00:00Z,1558.4,166.7,53.5,81.3
2018-12-01T00:00:00Z,1642.6,132.3,72.3,72.50000000000001
2018-12-02T00:00:00Z,2024.9,201.3,107.2,63
2018-12-03T00:00:00Z,1927.3000000000002,232.9,127.4,111.3
2018-12-04T00:00:00Z,2690.7,297.29999999999995,170.1,84.7
2018-12-05T00:00:00Z,1731.1999999999998,196.10000000000002,67.2,75.8
2018-12-06T00:00:00Z,2008,199.8,134.1,78.6
2018-12-07T00:00:00Z,2412.3,197.8,123.4,96.19999999999999
2018-12-08T00:00:00Z,2114.8,214.8,98.5,57.5
2018-12-09T00:00:00Z,2448.5,269.1,102.3,75.7
2018-12-10T00:00:00Z,1939.8,233.6,68.4,83.89999999999999
2018-12-11T00:00:00Z,3135.8999999999996,318.9,154.3,121
2018-12-12T00:00:00Z,2625.5,288.5,105,94.30000000000001
2018-12-13T00:00:00Z,1657.2,186.7,62.7,57.2
2018-12-14T00:00:00Z,2204.2,284.9,85.6,87.80000000000001
2018-12-15T00:00:00Z,2751.9,258.1,122.4,86.8
2018-12-16T00:00:00Z,1685.9,98.4,106.3,86
2018-12-17T00:00:00Z,1760.2,213.3,69.9,54.2
2018-12-18T00:00:00Z,1848.8,234.2,77.1,57.6
