date,weightkg
2016-12-12T00:00:00Z,76.3
2016-12-14T00:00:00Z,77.2
2017-01-02T00:00:00Z,77.2
2017-01-11T00:00:00Z,77.2
2017-03-08T00:00:00Z,77.2
2017-03-28T00:00:00Z,77.2
2017-06-03T00:00:00Z,76
2017-10-04T00:00:00Z,75.999
2017-11-19T00:00:00Z,75.999
2017-11-24T00:00:00Z,75.999
2018-06-24T00:00:00Z,81.9
2018-06-25T00:00:00Z,82.299
2018-06-26T00:00:00Z,82.6
2018-07-04T00:00:00Z,82.1
2018-07-18T00:00:00Z,81.6
2018-08-04T00:00:00Z,81.3
2018-11-12T00:00:00Z,82.5
2018-11-16T00:00:00Z,83
2018-11-17T00:00:00Z,82.8
2018-11-18T00:00:00Z,81.999
2018-11-19T00:00:00Z,82.4
2018-11-20T00:00:00Z,82.1
2018-11-21T00:00:00Z,81.999
2018-11-22T00:00:00Z,82.499
2018-11-23T00:00:00Z,82.699
2018-11-24T00:00:00Z,82.6
2018-11-25T00:00:00Z,83.299
2018-11-27T00:00:00Z,83.2
2018-11-28T00:00:00Z,82.299
2018-11-29T00:00:00Z,83.2
2018-11-30T00:00:00Z,83.299
2018-12-01T00:00:00Z,82.8
2018-12-02T00:00:00Z,82.499
2018-12-03T00:00:00Z,82.899
2018-12-04T00:00:00Z,82.1
2018-12-05T00:00:00Z,82.4
2018-12-06T00:00:00Z,81.7
2018-12-07T00:00:00Z,82.1
2018-12-08T00:00:00Z,81.999
2018-12-10T00:00:00Z,81.9
2018-12-11T00:00:00Z,82.2
2018-12-12T00:00:00Z,82.299
2018-12-13T00:00:00Z,82.499
2018-12-17T00:00:00Z,83.5
2018-12-18T00:00:00Z,83.099
2018-12-19T00:00:00Z,82.8
2018-12-20T00:00:00Z,82.2
2018-12-23T00:00:00Z,82.4
2018-12-24T00:00:00Z,82.8
2019-01-01T00:00:00Z,81.399
2019-01-02T00:00:00Z,81.9
2019-01-03T00:00:00Z,80.6
2019-01-05T00:00:00Z,81.799
2019-01-06T00:00:00Z,81.5
2019-01-07T00:00:00Z,81.599
2019-01-08T00:00:00Z,81.7
2019-01-09T00:00:00Z,81.999
2019-01-11T00:00:00Z,81.799
2019-01-14T00:00:00Z,82.299
2019-01-15T00:00:00Z,81.7
2019-01-18T00:00:00Z,81.1
2019-01-21T00:00:00Z,81.799
2019-01-22T00:00:00Z,81.9
2019-01-23T00:00:00Z,81.3
2019-01-24T00:00:00Z,80.9
2019-01-26T00:00:00Z,81.399
2019-01-27T00:00:00Z,82.1
2019-02-01T00:00:00Z,81.3
2019-02-03T00:00:00Z,81.5
2019-02-04T00:00:00Z,81.5
2019-02-05T00:00:00Z,81.1
2019-02-06T00:00:00Z,80.6
2019-02-07T00:00:00Z,80.8
2019-02-08T00:00:00Z,81
2019-02-09T00:00:00Z,81.1
2019-02-10T00:00:00Z,81.7
2019-02-11T00:00:00Z,81.5
2019-02-12T00:00:00Z,82
2019-02-13T00:00:00Z,81
2019-02-14T00:00:00Z,81.4
2019-02-15T00:00:00Z,81.5
2019-02-16T00:00:00Z,81.1
2019-02-18T00:00:00Z,81.3
2019-02-19T00:00:00Z,82.2
2019-02-21T00:00:00Z,81.6
2019-02-22T00:00:00Z,81.2
2019-02-25T00:00:00Z,82.3
2019-02-26T00:00:00Z,81.8
2019-02-27T00:00:00Z,82.2
2019-02-28T00:00:00Z,81.7
2019-03-03T00:00:00Z,82.1
2019-03-04T00:00:00Z,81.6
2019-03-05T00:00:00Z,82
2019-03-06T00:00:00Z,82.3
2019-03-07T00:00:00Z,82.7
2019-03-08T00:00:00Z,82.5
2019-03-10T00:00:00Z,82.7
2019-03-11T00:00:00Z,82.7
2019-03-12T00:00:00Z,81.9
2019-03-13T00:00:00Z,81.5
2019-03-14T00:00:00Z,82.1
2019-03-15T00:00:00Z,83.1
2019-03-17T00:00:00Z,82.7
2019-03-18T00:00:00Z,82.2
2019-03-19T00:00:00Z,82
2019-03-20T00:00:00Z,81.8
2019-03-21T00:00:00Z,82.3
2019-03-23T00:00:00Z,82
2019-03-24T00:00:00Z,81.5
2019-03-25T00:00:00Z,81.3
2019-03-26T00:00:00Z,81.9
2019-03-27T00:00:00Z,81.9
2019-03-28T00:00:00Z,82
2019-03-29T00:00:00Z,81.6
2019-03-30T00:00:00Z,81.6
2019-03-31T00:00:00Z,82.4
2019-04-01T00:00:00Z,82.3
2019-04-02T00:00:00Z,82.1
2019-04-03T00:00:00Z,81.9
2019-04-04T00:00:00Z,81.7
2019-04-05T00:00:00Z,81.8
2019-04-06T00:00:00Z,82
2019-04-07T00:00:00Z,81.7
2019-04-08T00:00:00Z,82
2019-04-09T00:00:00Z,82.8
2019-04-10T00:00:00Z,81.9
2019-04-11T00:00:00Z,80.9
2019-04-12T00:00:00Z,81
2019-04-13T00:00:00Z,80.8
2019-04-14T00:00:00Z,81.3
2019-04-15T00:00:00Z,82
2019-04-16T00:00:00Z,82.1
2019-04-17T00:00:00Z,82.4
2019-04-18T00:00:00Z,81.5
2019-04-19T00:00:00Z,80.5
2019-04-20T00:00:00Z,81.7
2019-04-21T00:00:00Z,81.8
2019-04-22T00:00:00Z,82.2
2019-04-23T00:00:00Z,81.5
2019-04-25T00:00:00Z,81.1
2019-04-26T00:00:00Z,80.8
2019-04-27T00:00:00Z,82.1
2019-04-28T00:00:00Z,82.1
2019-04-29T00:00:00Z,82.1
2019-04-30T00:00:00Z,82.6
2019-05-01T00:00:00Z,82.1
2019-05-02T00:00:00Z,82.4
2019-05-03T00:00:00Z,82.1
2019-05-04T00:00:00Z,81.4
2019-05-05T00:00:00Z,82.3
2019-05-06T00:00:00Z,81.6
2019-05-07T00:00:00Z,81.8
2019-05-08T00:00:00Z,82.1
2019-05-09T00:00:00Z,82.1
2019-05-10T00:00:00Z,82.7
2019-05-11T00:00:00Z,82.5
2019-05-12T00:00:00Z,83
2019-05-13T00:00:00Z,83
2019-05-14T00:00:00Z,82.9
2019-05-15T00:00:00Z,82.1
2019-05-16T00:00:00Z,82.1
2019-05-17T00:00:00Z,81.9
2019-05-18T00:00:00Z,81.5
2019-05-19T00:00:00Z,81.8
2019-05-20T00:00:00Z,81.199
2019-05-21T00:00:00Z,81.7
2019-05-22T00:00:00Z,81.9
2019-05-23T00:00:00Z,82
2019-05-24T00:00:00Z,82.3
2019-05-25T00:00:00Z,82.1
2019-05-26T00:00:00Z,82.299
2019-05-27T00:00:00Z,81.5
2019-05-28T00:00:00Z,81.7
2019-05-29T00:00:00Z,81.9
2019-05-30T00:00:00Z,81.599
2019-05-31T00:00:00Z,81.999
2019-06-02T00:00:00Z,82.4
2019-06-03T00:00:00Z,82.6
2019-06-04T00:00:00Z,82.6
2019-06-05T00:00:00Z,83.5
2019-06-07T00:00:00Z,83.999
2019-06-09T00:00:00Z,83.2
2019-06-10T00:00:00Z,82.8
2019-06-11T00:00:00Z,83.6
2019-06-12T00:00:00Z,82.6
2019-06-13T00:00:00Z,83
2019-06-14T00:00:00Z,83.8
2019-06-24T00:00:00Z,83
2019-06-25T00:00:00Z,82.6
2019-06-26T00:00:00Z,82.3
2019-06-27T00:00:00Z,82.6
2019-06-28T00:00:00Z,83.1
2019-07-02T00:00:00Z,82
2019-07-05T00:00:00Z,82.5
2019-07-07T00:00:00Z,80.8
2019-07-09T00:00:00Z,81.1
2019-07-13T00:00:00Z,82.5
2019-07-14T00:00:00Z,81.5
2019-07-15T00:00:00Z,81.5
2019-07-18T00:00:00Z,82.699
2019-07-19T00:00:00Z,82.4
2019-07-20T00:00:00Z,82.4
2019-07-21T00:00:00Z,82.5
2019-07-22T00:00:00Z,83.1
2019-07-23T00:00:00Z,82.1
2019-07-24T00:00:00Z,82.2
2019-07-25T00:00:00Z,82.3
2019-07-26T00:00:00Z,83.1
2019-07-27T00:00:00Z,82.6
2019-07-28T00:00:00Z,82.8
2019-07-29T00:00:00Z,82.899
2019-07-30T00:00:00Z,83.1
2019-07-31T00:00:00Z,83
2019-08-01T00:00:00Z,82.1
2019-08-02T00:00:00Z,82.699
2019-08-04T00:00:00Z,81.999
2019-08-05T00:00:00Z,82.2
2019-08-07T00:00:00Z,82.2
2019-08-08T00:00:00Z,82.6
2019-08-10T00:00:00Z,83
2019-08-11T00:00:00Z,82.6
2019-08-12T00:00:00Z,82.4
2019-08-14T00:00:00Z,81.8
2019-08-15T00:00:00Z,81.3
2019-08-16T00:00:00Z,81.3
2019-08-18T00:00:00Z,81.4
2019-08-19T00:00:00Z,81
2019-08-20T00:00:00Z,81
2019-08-21T00:00:00Z,80.8
2019-08-22T00:00:00Z,81.4
2019-08-23T00:00:00Z,80.9
2019-08-26T00:00:00Z,81.1
2019-08-27T00:00:00Z,81.7
2019-08-28T00:00:00Z,81.3
2019-08-29T00:00:00Z,81.5
2019-08-30T00:00:00Z,81.1
2019-08-31T00:00:00Z,80.8
2019-09-01T00:00:00Z,80.9
2019-09-02T00:00:00Z,79.9
